video_id,hand,mean,median,p95
IMG_8366_15fps,Right,0.08353180500368278,0.038523247465491295,0.26163099408149715
IMG_8367_15fps,Left,0.09339368200072876,0.043727245181798935,0.24293637573719024
IMG_8367_15fps,Right,0.06214964097099645,0.03838374838232994,0.16173708885908125
IMG_8369_15fps,Left,0.07705282821105076,0.042465876787900925,0.23833764195442186
IMG_8369_15fps,Right,0.0961192324757576,0.07466330006718636,0.19380416721105576
IMG_8382_15fps,Left,0.14750727266073227,0.13305221498012543,0.20092721730470656
IMG_8385_15fps,Left,0.14078830513689253,0.15938257426023483,0.23907407745718953
IMG_8385_15fps,Right,0.06814687078197797,0.06397486105561256,0.10484994500875473
IMG_8386_15fps,Left,0.1454718088110288,0.1585588902235031,0.2634863704442978
IMG_8386_15fps,Right,0.0633831231130494,0.06428072974085808,0.08843837827444076
IMG_8388_15fps,Left,0.14198918143908182,0.12453659623861313,0.1781205005943775
IMG_8388_15fps,Right,0.17034977674484253,0.17034977674484253,0.206264890730381
IMG_8389_15fps,Left,0.12609126915534338,0.08931108191609383,0.24164053797721863
IMG_8389_15fps,Right,0.130798382891549,0.07990910857915878,0.27047824859619135
VID_20250820_101845_15fps,Left,0.16204382677096874,0.15927886962890625,0.31536967754364015
VID_20250820_101845_15fps,Right,0.09874736191704869,0.07739677838981152,0.175120934844017
VID_20250820_101943_15fps,Left,0.1502089445528231,0.07283370196819305,0.33822527825832366
VID_20250820_101943_15fps,Right,0.14226094790195165,0.12361396104097366,0.2865788847208023
VID_20250820_102035_15fps,Left,0.18557572601871056,0.1727617308497429,0.3676374346017838
VID_20250820_102035_15fps,Right,0.09690410186621276,0.06827100925147533,0.19411253035068513
VID_20250820_103040_15fps,Left,0.08528859297243449,0.09009037166833878,0.09982148185372353
VID_20250820_103040_15fps,Right,0.06857764441519976,0.05767757259309292,0.09067920073866842
VID_20250820_104012_15fps,Left,0.3119979997475942,0.17513573169708252,0.7083020329475402
VID_20250820_104012_15fps,Right,0.14899255914820564,0.11666841059923172,0.25139301419258114
VID_20250820_104712_15fps,Left,0.0881888043621312,0.05189628154039383,0.28661010414361937
VID_20250820_104712_15fps,Right,0.2295342038075129,0.26319974660873413,0.35690356642007826
VID_20250820_104800(1)_15fps,Left,0.08219481576234103,0.05471411719918251,0.23896000534296044
VID_20250820_104800(1)_15fps,Right,0.08162314941485722,0.05194216966629028,0.14034590125083923
VID_20250820_104800_15fps,Left,0.08219481576234103,0.05471411719918251,0.23896000534296044
VID_20250820_104800_15fps,Right,0.08162314941485722,0.05194216966629028,0.14034590125083923
VID_20250820_104903(1)_15fps,Left,0.2793367803096771,0.2793367803096771,0.2793367803096771
VID_20250820_104903_15fps,Left,0.2793367803096771,0.2793367803096771,0.2793367803096771
VID_20250820_105321_15fps,Left,0.13274468415800264,0.10393399000167847,0.25147658586502075
VID_20250820_105321_15fps,Right,0.07775563133113525,0.08537281304597855,0.10455308705568313
VID_20250820_105354_15fps,Left,0.12926761863323358,0.07052133232355118,0.30603357553482047
VID_20250820_105354_15fps,Right,0.09317478652183826,0.10334204882383347,0.11360807120800018
VID_20250820_105424_15fps,Left,0.12163886485191491,0.0712294653058052,0.2768471419811248
VID_20250820_105424_15fps,Right,0.09419529971021873,0.09589798003435135,0.12704650312662125
VID_20250820_110522_15fps,Left,0.07618046253919601,0.042477142065763474,0.21044374033808694
VID_20250820_110522_15fps,Right,0.1762910157442093,0.18024563044309616,0.2123847186565399
VID_20250820_110611_15fps,Left,0.16586951166391373,0.18350821733474731,0.2515393629670143
VID_20250820_110611_15fps,Right,0.1347932368516922,0.1563478782773018,0.2108472190797329
VID_20250820_110636_15fps,Left,0.20737900249660016,0.1938835084438324,0.3956702813506126
VID_20250820_110636_15fps,Right,0.14097942933440208,0.15277919173240662,0.218990870565176
VID_20250820_111306_15fps,Left,0.20309331491589547,0.20334268361330032,0.32552686184644697
VID_20250820_111306_15fps,Right,0.10718680386032377,0.08684663474559784,0.20314871966838827
VID_20250820_111335_15fps,Left,0.21199458464980125,0.21107015758752823,0.2722688257694244
VID_20250820_111335_15fps,Right,0.16419059187173843,0.16542910039424896,0.24595006108283995
VID_20250820_111701_15fps,Left,0.17743687987327575,0.111948162317276,0.39439513087272643
VID_20250820_111701_15fps,Right,0.163086057951053,0.05026334337890148,0.4056161820888519
VID_20250820_111744_15fps,Left,0.20441955565051598,0.19053605198860168,0.4377399295568466
VID_20250820_111744_15fps,Right,0.17661842171634948,0.216633141040802,0.3678387403488159
VID_20250820_111820_15fps,Left,0.14293138846755027,0.10299055278301239,0.28758606314659113
VID_20250820_111820_15fps,Right,0.1284924270990102,0.10814082622528076,0.24051309376955032
VID_20250820_112216_15fps,Left,0.20918548852205276,0.1686747819185257,0.3565191209316253
VID_20250820_112216_15fps,Right,0.2736559808254242,0.2736559808254242,0.2736559808254242
VID_20250820_112254_15fps,Left,0.06427719288816054,0.06460777670145035,0.06588249132037163
VID_20250820_112316_15fps,Left,0.2240130210464651,0.2270023226737976,0.27156104147434235
VID_20250820_112316_15fps,Right,0.17668696831573139,0.17794127762317657,0.21006112545728683
VID_20250820_112631_15fps,Left,0.11775599519411722,0.044987961649894714,0.25908930897712706
VID_20250820_112631_15fps,Right,0.09422326345856373,0.04080803692340851,0.21819827556610105
VID_20250820_112703_15fps,Left,0.08796966783702373,0.047279201447963715,0.22156335711479183
VID_20250820_112703_15fps,Right,0.12201551415703514,0.07136978954076767,0.2863634526729584
VID_20250820_112728_15fps,Left,0.10736341319150394,0.048246048390865326,0.25770564079284664
VID_20250820_112728_15fps,Right,0.07943920471838542,0.04444744065403938,0.18289473205804818
